datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
2980,"Phytoplankton data collected in the Black Sea during the 117<sup><small>th</small></sup> cruise of the R/V ""Kovalevskiy"" in 1990","Lyudmila Georgieva (2012). Phytoplankton data collected in the Black Sea during the 117<sup><small>th</small></sup> cruise of the R/V ""Kovalevskiy"" in 1990. IBSS, National Academy of Sciences of Ukraine; Institute of Biology of the Southern Seas.",NA,Attribution (CC BY),,"Phytoplankton data collected in the Black Sea during 117 cruise of the R/V ""Kovalevskiy"" and processed by Lyudmila Georgieva. <br>
Samples were taken with 6 liter bathometers at standard depths and in the thermocline layer. 1-3 liter of water was concentrated by inverse filtering. Organisms were counted with a Nauman camera 0.4 cm³ or 0.001-0.01 cm³ for nanophytoplankton.",NA,Vladimir Vladymyrov,FALSE,FALSE,Phytoplankton,
2981,"Phytoplankton data collected in the Black Sea and Bosporus area during a cruise of the R/V ""Mgla"", year 1968","Lyudmila Georgieva (2012). Phytoplankton data collected in the Black Sea and Bosporus area during a cruise of the R/V ""Mgla"", year 1968. IBSS, National Academy of Sciences of Ukraine; Institute of Biology of the Southern Seas",NA,Attribution (CC BY),,"Phytoplankton data collected in the Black Sea, Bosporus  area during a cruise of the R/V ""Mgla"", year 1968 and processed by Lyudmila Georgieva.","Samples were taken by 1 L bathometers at standard depths and in the thermocline layer.  The standard sedimentation technique for samples preparation (Usachev, 1926) was used. Samples were preserved by buffered formalin 40% and were settled within 30 days. Then a volume of water was siphoned off and samples were concentrated to 10-20 ml. After thorough mixing the subsamples (0.05 or 0.1 ml) were transferred to the counting chamber. Organisms were counted in two subsamples at ×300-400 magnification.",Vladimir Vladymyrov,FALSE,FALSE,Phytoplankton,
2982,"Phytoplankton data collected in the Black Sea, Bosporus area during a cruise of the R/V ""Mgla"", year 1969","Lyudmila Georgieva (2012). Phytoplankton data collected in the Black Sea, Bosporus area during a cruise of the R/V ""Mgla"", year 1969. IBSS, National Academy of Sciences of Ukraine; Institute of Biology of the Southern Seas",NA,Attribution (CC BY),,"Phytoplankton data collected in the Black Sea and Bosporus  area during a cruise of the R/V ""Mgla"", 1969 year and processed by Lyudmila Georgieva","Samples were taken by 1 L bathometers at standard depths and in the thermocline layer.  The standard sedimentation technique for samples preparation (Usachev, 1926) was used. Samples were preserved by buffered formalin 40% and were settled within 30 days. Then a volume of water was siphoned off and samples were concentrated to 10-20 ml. After thorough mixing the subsamples (0.05 or 0.1 ml) were transferred to the counting chamber. Organisms were counted in two subsamples at ×300-400 magnification.",Vladimir Vladymyrov,FALSE,FALSE,Phytoplankton,
3093,SNU-FF Meiobenthos (2009-2010),"Sezgin, M. 2010. Meiobenthos data from 2009-2010. Sinop University Fisheries Faculty (SNU-FF).",NA,Attribution (CC BY),,"Meiobenthos data, as well as data on water parameters and sediment parameters, was gathered at 8 stations along the Turkish Black Sea coast, during 12 sampling events, at 2 depths (3 and 10m). All data is restricted.","Meiobenthos data was gathered at 8 stations along the Turkish Black Sea coast, during 12 sampling events, at 2 depths (3 and 10m). Samples were collected by scuba diving, using a sediment tube corer. The following taxa could be observed: Nematoda, Harpacticoida, Polychaeta, Foraminifera (soft-shelled), Bivalvia, Ostracoda, Turbellaria, Oligochaeta, Ciliophora, Gromia and Nauplia. 

In addition, data on water parameters (temperature, salinity, conductivity, pH, dissolved oxygen, nitrate, nitrite, phosphate, silicate and total dissolved solids) and data on sediment parameters (pH, water content, porosity, granule size, organic matter content and redox conditions) were gathered. 

All data is restricted.",Murat Sezgin,FALSE,FALSE,Benthos,Meiobenthos
3145,"HMAP Dataset 08: Swedish Baltic Catch Data, 1752-1990","K. Awebro and B. Poulsen, eds., 'Swedish Baltic Catch Data, 1752-1990' in J.H Nicholls (comp.) HMAP Data Pages (https://oceanspast.org/hmap_db.php)",NA,Attribution (CC BY),,"This dataset contains data on Baltic fish catches between 1752 and 1990, derived from Swedish archives.",NA,"Bo Poulsen , John Nicholls",FALSE,FALSE,Fisheries,"Fish catch statistics , Historical records"
3147,HMAP Dataset 10: Catalonian Coast,"Garrido, A. and Alegret, J.L., 'HMAP Dataset 10: Catalonian Coast', in J.H Nicholls (comp.) HMAP Data Pages (https://oceanspast.org/hmap_db.php)",NA,Attribution (CC BY),,This dataset contains data on various fish landings and fishing effort in Catalonia. The data covers the time period from 1831 to 1984.,NA,"John Nicholls , Alfons Garrido",FALSE,FALSE,Fisheries,"Fishery statistics , Fishing effort , Historical records"
3157,"HMAP Dataset 20: Limfjord Catch Data, 1890-1925","Anne Lif Lund Jacobsen (Anne Husum Marboe ed.), 'Limfjord Catch Data 1890-1925', in J.H. Nicholls (comp.) HMAP Data Pages (https://oceanspast.org/hmap_db.php)",NA,Attribution (CC BY),,"This dataset contains historical five-yearly catch data from Limfjord (Denmark) for eel, plaice, cod and herring. The data covers the time period 1890-1925.","This dataset contains historical five-yearly catch data from Limfjord (Denmark) for eel, plaice, cod and herring. The data covers the time period 1890-1925.","John Nicholls , Anne Lif Lund Jacobsen",FALSE,FALSE,Fisheries,"Fish catch statistics , Historical records"
4036,Phytoplankton data collected from the Black Sea during April 1952 (Cruise 3),IBSS. 1952. Phytoplankton data collected from the Black Sea during April 1952 (Cruise 3). Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/61, https://doi.org/10.14284/61,Attribution (CC BY),,The data were collected by the IBSS staff on vessel T-197 at 13 stations in the Black Sea during April 1952 (Cruise 3). This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,NA,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4038,Phytoplankton data collected from the North-Western part of the Black Sea during August 1957 (Cruise 1),IBSS. 1957. Phytoplankton data collected from the North-Western part of the Black Sea during August 1957 (Cruise 1). Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/63, https://doi.org/10.14284/63,Attribution (CC BY),,The data were collected by the IBSS staff at 18 stations in the North-Western part of the Black Sea during August 1957 (Cruise 1). This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,The data were collected by the IBSS staff at 18 stations in the North-Western part of the Black Sea during August 1957 (Cruise 1). This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4039,Phytoplankton data collected from the North-Western part of the Black Sea during August 1957 (Cruise 2),IBSS. 1957. Phytoplankton data collected from the North-Western part of the Black Sea during August 1957 (Cruise 2). Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/64, https://doi.org/10.14284/64,Attribution (CC BY),,The data were collected by the IBSS staff at 18 stations in the Black Sea during August 1957 (Cruise 2). This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,NA,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4040,Phytoplankton monitoring data from a polygon near Belbek River (Black Sea) from 1987 to 1990,IBSS. 1987-1990. Phytoplankton monitoring data from a polygon near Belbek River (Black Sea) from 1987 to 1990. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,The data were collected by the IBSS staff during a monitoring campaign near Belbek River (Black Sea) from 1987 to 1990. This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,"The data were collected by the IBSS staff during a monitoring campaign near Belbek River (Black Sea) from 1987 to 1990. This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.

Furthermore this dataset also contains additional information to calculate Biomass and Abundance: V1_L, V2_ml, V3_ml, Koefficient, N_count and V_um3. V1_L is the volume of the water sample taken in liters. V2_ml is the volume of the filtered sample in milliliters (V1 after filtration). V3_ml is the volume (in milliliters) of one drop taken from the V2 sample to be examined under the microscope. Koefficient is a multiplying factor calculated from V1, V2 and V3. N_count is the number of individuals that was observed under the microscope for 1 species. V_um3 is the average volume of one individual in cubic micrometers.

<ul><li>Abundance = N_count*Koefficient <li>Biomass = N_count*Koefficient *V_um3*10^-3</ul>",Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4041,Phytoplankton data collected from diurnal stations in the halistatic region of the Black Sea during April and July 1957,IBSS. 1957. Phytoplankton data collected from diurnal stations in the halistatic region of the Black Sea during April and July 1957. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/60, https://doi.org/10.14284/60,Attribution (CC BY),,The data were collected by the IBSS staff at two diurnal stations in the halistatic region of the Black Sea during April and July 1957. This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,The data were collected by the IBSS staff at two diurnal stations in the halistatic region of the Black Sea during April and July 1957. This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4042,Phytoplankton data collected from the Black Sea during November 1957 (Cruise 2),IBSS. 1957. Phytoplankton data collected from the Black Sea during November 1957 (Cruise 2). Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/62, https://doi.org/10.14284/62,Attribution (CC BY),,The data were collected by the IBSS staff at 18 stations in the Black Sea during November 1957 (Cruise 2). This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,NA,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4044,Phytoplankton monitoring data from Sevastopol Bay (Black Sea) from 1952 to 1963,IBSS. 1952-1963. Phytoplankton monitoring data from Sevastopol Bay (Black Sea) from 1952 to 1963. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,The data were collected by the IBSS staff during a monitoring campaign in Sevastopol Bay (Black Sea) from 1952 to 1963. This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,NA,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4046,Phytoplankton data collected from a diurnal station in Sevastopol Bay (Black Sea) during 1952,IBSS. 1952. Phytoplankton data collected from a diurnal station in Sevastopol Bay (Black Sea) during 1952. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. https://doi.org/10.14284/59, https://doi.org/10.14284/59,Attribution (CC BY),,The data were collected by the IBSS staff at one diurnal station in Sevastopol Bay (Black Sea) during 1952. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,NA,Kseniia Skuratova,FALSE,FALSE,"Biology , Phytoplankton",
4225,Free-living plathelminthes of marine habitats near Wimereux (1990-1991),Susetiono; Schockaert E.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME). VUB; Limburgs Universitair Centrum (LUC): Belgium; (2016): Free-living plathelminthes of marine habitats near Wimereux (1990-1991). https://doi.org/10.14284/188, https://doi.org/10.14284/188,Attribution (CC BY),NA,"Overview of the fauna Turbellaria in the French Northern Coast (Wimereux and adjascent coast). The data were digitized by VLIZ from the original report: Susetiono (1991). A faunistic study on the free-living plathelminthes of some marine habitats near Wimereux (N. France), Book 1: text. MSc Thesis. LUC: Diepenbeek. 89 pp.","Taxonomic study and overview of the free-living turbellaria from the eulittoral sediments at the French Northern coast (Audresselles-Boulogne) North Sea from August, 1990 till May, 1991. Sixty species are identified as known species. Two species are new to science: <i>Cirrifera wimerensis</i> and <i>Otoplanella audresselensis</i>.",Vlaams Instituut voor de Zee,FALSE,FALSE,Ecology - biodiversity,
4227,Tidal and diurnal rhythms of the hyperbenthos at the 'Vlakte van de Raan' on 14 October 1996,Mortier S.; Vincx M.; Marine Biology Section; Zoology Institute. Ugent: Belgium; (2016): Tidal and diurnal rhythms of the hyperbenthos at the 'Vlakte van de Raan' on 14 October 1996. https://doi.org/10.14284/218, https://doi.org/10.14284/218,Attribution (CC BY),NA,"Density and biomass of hyperbenthos, macrobenthos and zooplankton over a 26 h (14-10-1996) cycle in a subtidal station located in the 'Vlakte van de Raan'. The data were digitized by VLIZ from the original report: Mortier, S. (1998). Tidale en diurnale ritmes van het hyperbenthos in het subtidaal van de Belgische oostkust. BSc Thesis. Universiteit Gent. Mariene Biologie. Instituut voor Dierkunde. Vakgroep Morfologie, Systematiek en Ecologie: Gent. 94 pp.","The hyperbenthos was sampled each hour with a sledge, during a period of 26 hours. The sample station (UG3) was located on the southern slope of 'de vlakte van de Raan', between Zeebrugge and the mouth of the Wester Scheldt. This research is a descriptive study of the species composition, density, biomass and diversity of the hyperbenthos. 39 hyperbenthos species were collected which were separated in 10 higher taxa. As regards density, Mysidacea dominate clearly the hyperbenthal, other important taxa are Amphipoda, Decapoda and Pisces. As regards biomass, Mysidacea and Pisces are the most important taxa. The most important species at density level was <i>Schistomysis kervillei</i> (59% of the total density). Less abundant, but still important, were <i>Gammarus crinicornis</i> (14%), <i>Crangon crangon</i> postlarvae (12%),</i> Pomatoschistus</i> species postlarvae (5%) and <i>Schistomysis spiritus</i> (3%).",Vlaams Instituut voor de Zee,FALSE,FALSE,"Benthos , Fish , Zooplankton","Diurnal tidal cycles , Hyperbenthos"
4233,Spatial distribution of meiobenthos in the Voordelta (October 1988),Jian L.; Heip C.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME). VUB: Belgium; Delta Institute for Hydrobiological Research: The Netherlands; (2017): Spatial distribution of meiobenthos in the Voordelta (October 1988). https://doi.org/10.14284/275, https://doi.org/10.14284/275,Attribution (CC BY),NA,"Meiofauna composition and overview of nematoda genera found in Grevelingen and the Oosterschelde area on 17 and 19 October 1988. The data were digitized by VLIZ from the original report: Jian, L. (1989). The study in the spatial distribution of meiobenthos in the Voordelta (the Southern Bight of the North Sea). MSc Thesis. VUB: Yerseke. 77 pp.","Samples were taken on six stations from two areas (Grevelingen and Oosterschelde area) in the Voordelta (Southern Bight of the North Sea). At each station, three boxes corer (14.7cm diam.) were taken and out of each box corer, three replicate cores (2.4 cm diam.) were randomly taken (total of 54 core samples to be analysed). From each sample, meiofauna composition (densities of the 16 higher taxa encountered) and nematode genera (up to 65 in this study) have been determined.",Vlaams Instituut voor de Zee,FALSE,FALSE,"Benthos , Ecology - biodiversity","Meiobenthos , Nematode diversity , Spatial distribution"
4237,Meiobenthic community in the Westerschelde estuary between 1977 and 1979,Van Damme D.; Herman R.; Sharma Y.; Holvoet M.; Martens P.; Marine Biology Section; Zoology Institute. Ugent: Belgium; (2016): Meiobenthic community in the Westerschelde estuary between 1977 and 1979. https://doi.org/10.14284/221, https://doi.org/10.14284/221,Attribution (CC BY),NA,"Data on quantitative aspects of the meiofauna community in the Westerschelde estuary such as density, biomass, diversity and community structure. The data were digitized by VLIZ from the original report: Van Damme, D.; Herman, R.; Sharma, Y.; Holvoet, M.; Martens, P. (1980). Benthic studies of the Southern Bight of the North Sea and its adjacent continental estuaries: Progress Report 2. Fluctuation of the meiobenthic communities in the Westerschelde estuary.","The meiofauna community of the Westerschelde estuary was examined along five transects over an one year period. All meiofaunal groups, excluding nematodes, occurred in very low numbers along the estuary, except at the salt marsh Saeftinghe, where they attain normal to high values. The average number of taxa decline from 4.3 at the mouth of the estuary at Vlissingen to 1.5 at Doel. Similar trends are observed for annual mean density.",Vlaams Instituut voor de Zee,FALSE,FALSE,"Benthos , Ecology - biodiversity","Meiobenthos , Meiofauna communities"
4377,Zooplankton collected in the Northwestern Black Sea in 1952,Zooplankton collected in the Northwestern Black Sea in 1952. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,"The data were collected by the IBSS staff at several stations in the Northwestern Black Sea in April 1952, transect Tarhankut – open sea. Samples were processed by L.Sagina. This dataset contains abundance data (individuals per m³) and biomass data (mg/m³) for zooplankton taxa. No additional metadata is available",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Zooplankton,
4378,Zooplankton collected in the Black Sea during Cruise 5 in February 1957,Zooplankton collected in the Black Sea during Cruise 5 in February 1957. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,The data were collected by the IBSS staff at several stations in the Black Sea during Cruise 5 in February 1957. This dataset contains abundance data (individuals per m³) and biomass data (mg/m³) for zooplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Zooplankton,
4380,Zooplankton collected in the Black Sea along the Yalta-Batumi transect in February 1951,Zooplankton collected in the Black Sea along the Yalta-Batumi transect in February 1951. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,The data were collected by the IBSS staff at several stations in the Black Sea along the Yalta-Batumi transect in 1951. Samples were processed by L. Sagina. This dataset contains abundance data (individuals per m³) and biomass data (mg/m³) for zooplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Zooplankton,
4381,Phytoplankton data collected in the Black Sea along the Tuapse transect in August 1951,Phytoplankton data collected in the Black Sea along the Tuapse transect in August 1951. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,Data collected by the IBSS staff at several stations in the Black Sea along the Tuapse transect in August 1951. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4382,Phytoplankton data collected in the Black Sea in February 1957,Phytoplankton data collected in the Black Sea in February 1957. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,Data collected by the IBSS staff at several stations in the Black Sea during the first cruise in February 1957. This dataset contains abundance data (individuals per liter) and biomass data (mg/m³) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4383,Phytoplankton data collected during R/V Issledovatel cruise in September 1948,Phytoplankton data collected during R/V Issledovatel cruise in September 1948. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. 2013.,NA,Attribution (CC BY),,Phytoplankton data collected by the IBSS staff on the R/V Issledovatel in several stations in the Black Sea during the cruise 1 in September 1948. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4384,Phytoplankton data collected during R/V Issledovatel cruise in October 1948,Phytoplankton data collected during R/V Issledovatel cruise in October 1948. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. 2013.,NA,Attribution (CC BY),,Phytoplankton data collected by the IBSS staff on the R/V Issledovatel in several stations in the Black Sea during the cruise 1 in October 1948. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4385,Phytoplankton data collected during cruises on the R/V Knipovich in 1948 and 1950,Phytoplankton data collected during cruises on the R/V Knipovich in 1948 and 1950. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. 2013.,NA,Attribution (CC BY),,"Phytoplankton data collected by the IBSS staff on the R/V Knipovich  in the Black Sea along the Yalta-Batumi transect during the cruise in August-September 1948, and along the Yalta - Sukhumi transect, diurnal station 8, 50 km from Sukhumi in April 1950. This dataset contains abundance data (individuals per liter) for phytoplankton taxa collected in layer and discrete depths samples. Biomass data (mg/m³) are also available for 1948. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4386,Phytoplankton data collected during a cruise in the Black Sea in May 1957,Phytoplankton data collected during a cruise in the Black Sea in May 1957. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine. 2013.,NA,Attribution (CC BY),,Phytoplankton data collected by the IBSS staff during a cruise in the Black Sea in May 1957.  This dataset contains abundance (individuals per liter) and biomass (mg/m³) data for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4387,Phytoplankton data from the Black Sea collected on R/V Professor Vodyanitskij in November 1991,Phytoplankton data from the Black Sea collected on  R/V Professor Vodyanitskij in November 1991. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,Phytoplankton data collected by the IBSS staff at several stations in the Black Sea during a cruise of R/V Professor Vodyanitskij in November 1991. This dataset contains abundance data (individuals per liter) and biomass data (mg/m³) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4388,Phytoplankton data collected in deep waters of the halistatic region of the Black Sea in September 1948,Phytoplankton data collected in deep waters of the halistatic region of the Black Sea in September 1948.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,Phytoplankton data collected by the IBSS staff in deep waters of the halistatic region of the Black Sea in September 1948. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4389,Phytoplankton data of Sevastopol Bay of the Black Sea during 1972,"Phytoplankton data of Sevastopol Bay of the Black Sea, 1972.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.",NA,Attribution (CC BY),,"Phytoplankton data collected by the IBSS staff in Sevastopol Bay, Black Sea during 1972. This dataset contains abundance data (individuals per liter) and biomass (mg/m³) for phytoplankton taxa. Also size records are given for most of them. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4390,"Phytoplankton samples collected near Sochi, Black Sea, in 1974-1975","Phytoplankton samples collected near Sochi, Black Sea, in 1974-1975.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.",NA,Attribution (CC BY),,"Phytoplankton data collected by the IBSS staff near Sochi (Mamaika. Matsesta. Sochi river's mouth), Black Sea, during three surveys in 1974 and 1975. Samples were taken in the area of deep sea outfall of Sochi. This dataset contains abundance data (individuals per liter) and biomass (mg/m³) for phytoplankton taxa. Also size records are given for some of them. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4391,"Phytoplankton data from the Sukhumi region, Black Sea, collected in November 1948","Phytoplankton data from the Sukhumi region, Black Sea, collected in November 1948.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.",NA,Attribution (CC BY),,"Phytoplankton data collected by the IBSS staff at diurnal stations in the Sukhumi region, Black Sea, in November 1948. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4392,"Phytoplankton data collected near Yalta, Black Sea, in June 1950","Phytoplankton data collected near Yalta, Black Sea, in June 1950.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.",NA,Attribution (CC BY),,"Phytoplankton data series collected by the IBSS staff at sample station 5 miles from Yalta, Black Sea, between 17-19 June 1950. This dataset contains abundance data (individuals per liter) for phytoplankton taxa. Some records have also a species shape annotation. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4393,Zooplankton data collected during cruises on the R/V Knipovich in April 1950,Zooplankton data collected during cruises on the R/V Knipovich in April 1950.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,"Zooplankton data collected by the IBSS staff on the R/V Knipovich  in the Black Sea along the Yalta - Sukhumi transect, at the diurnal station 8, 50 km from Sukhumi on 20th April 1950. This dataset contains abundance data (individuals per liter) and biomass data (mg/m³) for zooplankton taxa. Also stage and size are registered for some species. No additional metadata is available.",This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants.,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4396,Interstitial Turbellaria in the Dutch Delta 1978-1979,Martens P.; Coomans A.; Faculteit Wetenschappen. RUG: Belgium; (2016): Interstitial Turbellaria of the Dutch Delta area (1978-1979). https://doi.org/10.14284/191, https://doi.org/10.14284/191,Attribution (CC BY),NA,"List and counts of observed Turbellaria species in 1978-1979 in the Dutch Delta area. The data were digitized by VLIZ from the original report: Martens, P. (1980). Interstitiële Turbellaria van het Nederlands Deltagebied. BSc Thesis. Rijksuniversiteit Gent. Fakulteit Wetenschappen: Gent. 102 pp.","In total, 38 samples were taken at 27 different locations, situated in the Westerschelde, Oosterschelde and Grevelingen. 33 species were determined from which 23 species new for the area. One genus, four species and a subspecies are new to science: <i>Philosyrtis coomansi</i>, <i>Schizorhynchus coronodentatus</i>, <i>Paracicerina globulosa deltoidea</i>, <i>Archimonocelis oostendensis</i> and the genus Androsimplex with <i>Androsimplex ruber</i> (the last two mentioned species were already found and written about in the work of Degadt, 1973). Density and diversity of Turbellaria is higher in the Oosterschelde than in the Westerschelde or in Grevelingen.",Vlaams Instituut voor de Zee,FALSE,FALSE,"Benthos , Coastal studies (e.g. shores, estuaries)",
4397,Phytoplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov,Phytoplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.,NA,Attribution (CC BY),,The data were collected by the IBSS staff at several stations in the Mediterranean Sea during a cruise with the R/V N. Akademik S. Vavilov in 1959. This dataset contains abundance data (individuals per liter). No additional metadata is available.,This dataset was rescued through data archaeology activities in the framework of the EMODnet Biology data grants,Oleksandra Sergeyeva,FALSE,FALSE,Phytoplankton,
4398,"Zooplankton monitoring RADIALES - section off Vigo (NW Spain, Galicia); coastal (station depth 39m)","Miranda, A.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Vigo (NW Spain, Galicia); coastal (station depth 39m) https://doi.org/10.14284/47", https://doi.org/10.14284/47,Attribution (CC BY),NA,"Zooplankton time-series from the time-series monitoring programme RADIALES, done by IEO at different stations in the Northwest and North Iberian Shelf.","Measured variables:
- 	Size-fractionated biomass, for size-fractions 200-500, 500-1000, 1000-2000 and >2000 µm ESD (equivalent spherical diameter).
- Water-column integrated abundance (individuals/m2) and/or concentration (individuals/m3) of meso-zooplankton (to the species level whenever possible.

	Collection method: WP2 plankton net of 200 micrometer mesh-size. Vertical hauls from 5 above the bottom (station depth) to the surface.

	Sampling depth: Water-column integrated hauls from 5 m above the bottom (or a maximum of 100m) to the surface

	Preservation of samples: 4% sodium borate-buffered formalin-seawater solution.

	Analytical method: Identification / Enumeration under the stereomicroscope. Taxonomic classification is carried out by different experts depending on location.

	Format of the files: csv file; matrix of depth-integrated water column abundance (individuals/m2 and/or individuals/m3) by motnh and by taxonomic affiliation (to the species level whenever possible), for each sampling station (latitude / longitude).

	All data are organised in a common Access database",Enrique Nogueira,FALSE,FALSE,"Ecology - biodiversity , Zooplankton",
